time,index,confidence,x_norm,y_norm,base_data
192.191968628999,5766,1,0.580072973842917,0.46338741592905,4463.317114058-0.0
192.223999166,5767,1,0.58056305456148,0.463401973066192,4463.349144595-0.0
192.25598465,5768,1,0.580771810096446,0.463075889924376,4463.381130079-0.0
192.29198064,5769,1,0.580842082185208,0.463118881605968,4463.417126069-0.0
192.323982278999,5770,1,0.580818654061761,0.462411771912082,4463.449127708-0.0
192.355968512,5771,1,0.580169588119452,0.461400116390159,4463.481113941-0.0
192.392016497,5772,1,0.580570978669527,0.460915865689603,4463.517161926-0.0
192.423998181999,5773,1,0.579649182179327,0.460586789725108,4463.549143611-0.0
192.456000888999,5774,1,0.580007280678379,0.461145821916752,4463.581146318-0.0
192.491994049,5775,1,0.579446234514882,0.460063682459225,4463.617139478-0.0
192.524004434,5776,1,0.579875865413262,0.459931517210961,4463.649149863-0.0
192.555996149,5777,1,0.579683103153299,0.459284007876834,4463.681141578-0.0
192.591983429,5778,1,0.579901249739365,0.459325615514674,4463.717128858-0.0
192.623986293,5779,1,0.580138627716889,0.458074710897371,4463.749131722-0.0
192.656683493999,5780,1,0.579729080200891,0.460370729165973,4463.781828923-0.0
192.692002453,5781,1,0.579962895493878,0.459050315813457,4463.817147882-0.0
192.723983588,5782,1,0.579904826447379,0.457601964138961,4463.849129017-0.0
192.755980458999,5783,1,0.580282259316744,0.458264273544275,4463.881125888-0.0
192.792024875999,5784,1,0.580609030320287,0.458115005540716,4463.917170305-0.0
192.824021578999,5785,1,0.581148102940059,0.458690444402862,4463.949167008-0.0
192.855982452,5786,1,0.581105164925723,0.459178884633623,4463.981127881-0.0
192.892019694,5787,1,0.580540133599699,0.458156413926726,4464.017165123-0.0
192.923998429999,5788,1,0.580451395774905,0.458751418593188,4464.049143859-0.0
192.955975706,5789,1,0.580077292829955,0.459051413531153,4464.081121135-0.0
192.992001039999,5790,1,0.580222544695038,0.458141537636092,4464.117146469-0.0
193.024009418999,5791,1,0.580380752906602,0.458236620179038,4464.149154848-0.0
193.056031923,5792,1,0.58058661608449,0.45880147324867,4464.181177352-0.0
193.091990520999,5793,1,0.580111970631416,0.458152090634471,4464.21713595-0.0
193.123954645,5794,1,0.580499906119054,0.459110910056518,4464.249100074-0.0
193.155976634999,5795,1,0.580729111960374,0.459039955756669,4464.281122064-0.0
193.192009224,5796,1,0.580644376557862,0.459587051310436,4464.317154653-0.0
193.22400604,5797,1,0.58066168487213,0.459027771203525,4464.349151469-0.0
193.255991616,5798,1,0.58031174825965,0.459533192086873,4464.381137045-0.0
193.292024206,5799,1,0.580359088961062,0.459797074065293,4464.417169635-0.0
193.323986852,5800,1,0.580436671973281,0.460343467020294,4464.449132281-0.0
193.355992516999,5801,1,0.580373280182685,0.459901404877741,4464.481137946-0.0
193.391988085999,5802,1,0.580388251643621,0.458747833942823,4464.517133515-0.0
193.423997649,5803,1,0.580244512951409,0.459872601399255,4464.549143078-0.0
193.455996749,5804,1,0.579905729689068,0.45917520587977,4464.581142178-0.0
193.49200176,5805,1,0.580047537423923,0.460271986339125,4464.617147189-0.0
193.523989871,5806,1,0.579718352832445,0.461104834029491,4464.6491353-0.0
193.555986625999,5807,1,0.580167307003097,0.460650810981683,4464.681132055-0.0
193.592026155,5808,1,0.580017640807857,0.459158576751356,4464.717171584-0.0
193.623994971999,5809,1,0.580190645958995,0.46010120834713,4464.749140401-0.0
193.655981069,5810,1,0.580168975743386,0.459461366084685,4464.781126498-0.0
193.692047322999,5811,1,0.579983489194493,0.458467602107902,4464.817192752-0.0
193.724009776,5812,1,0.580214317449189,0.458889201647967,4464.849155205-0.0
193.75598027,5813,1,0.579656571655676,0.459181847973984,4464.881125699-0.0
