id	start_time	duration	norm_pos_x	norm_pos_y
250	175.256	0.236	0.595	0.733
251	175.592	0.532	0.282	0.736
252	176.192	1.400	0.598	0.710
253	177.756	0.636	0.615	0.731
254	178.592	0.332	0.617	0.744
255	178.956	0.236	0.287	0.727
256	179.256	1.400	0.603	0.710
257	180.724	0.232	0.294	0.728
258	180.992	2.932	0.245	0.732
259	184.124	1.064	0.276	0.745
260	185.224	0.200	0.304	0.745
261	185.456	0.268	0.279	0.760
262	185.756	0.768	0.583	0.715
263	186.556	1.200	0.606	0.703
264	187.824	2.200	0.262	0.746
265	190.056	0.832	0.299	0.727
266	191.056	1.068	0.598	0.676
267	192.288	2.468	0.621	0.732
268	194.924	1.200	0.613	0.752
269	196.156	1.400	0.276	0.753
270	197.588	0.368	0.300	0.740
271	197.988	0.400	0.285	0.749
272	198.456	0.400	0.569	0.728
273	198.888	1.436	0.612	0.714
274	200.356	0.168	0.636	0.712
275	200.556	3.932	0.611	0.733
276	204.624	0.764	0.607	0.728
277	205.456	1.800	0.259	0.773
278	207.388	2.600	0.258	0.762
279	210.188	0.436	0.276	0.765
280	210.656	0.200	0.301	0.762
281	210.888	2.032	0.271	0.767
282	213.088	0.868	0.283	0.778
283	213.988	0.168	0.522	0.715
284	214.188	0.732	0.606	0.709
285	215.120	0.468	0.630	0.737
286	215.620	0.668	0.547	0.732
287	216.320	0.400	0.593	0.718
288	216.788	0.568	0.294	0.752
289	217.420	4.836	0.602	0.719
290	222.288	0.568	0.302	0.733
291	222.888	1.168	0.255	0.750
292	224.088	0.332	0.305	0.729
293	224.620	0.368	0.309	0.772
294	225.056	1.164	0.253	0.738
295	226.256	0.332	0.340	0.735
296	226.620	0.368	0.266	0.728
297	227.120	0.168	0.260	0.767
298	227.320	0.600	0.250	0.734
299	227.956	0.400	0.211	0.737
300	228.388	0.732	0.269	0.737
301	229.156	0.900	0.589	0.701
302	230.188	1.200	0.611	0.727
303	231.456	0.232	0.320	0.731
304	231.888	0.300	0.320	0.768
305	232.220	0.168	0.531	0.714
306	232.420	1.168	0.273	0.754
307	233.788	0.268	0.614	0.725
308	234.088	1.332	0.255	0.754
309	235.588	3.800	0.264	0.766
310	239.420	0.200	0.290	0.774
311	239.652	0.600	0.263	0.789
312	240.320	0.268	0.600	0.702
313	240.652	1.600	0.252	0.760
314	242.288	1.064	0.267	0.739
315	243.388	0.264	0.270	0.740
316	243.688	2.432	0.251	0.777
317	246.188	0.700	0.543	0.730
318	246.920	1.068	0.607	0.723
319	248.152	1.200	0.624	0.739
320	249.388	1.764	0.606	0.704
321	251.220	1.700	0.267	0.766
322	252.952	0.236	0.369	0.727
323	253.220	9.232	0.406	0.729
324	262.520	0.432	0.285	0.723
325	263.188	0.764	0.436	0.764
326	264.052	0.168	0.367	0.777
327	264.388	0.464	0.270	0.762
328	264.888	0.332	0.235	0.788
329	265.252	1.300	0.272	0.710
330	266.588	0.700	0.225	0.694
331	267.320	0.300	0.374	0.692
332	267.652	3.532	0.271	0.722
333	271.252	0.468	0.584	0.697
334	272.184	0.868	0.590	0.736
335	273.120	0.164	0.306	0.747
336	273.320	2.632	0.372	0.746
337	275.984	1.436	0.284	0.779
338	277.452	3.168	0.278	0.768
339	280.652	0.200	0.232	0.782
340	281.020	5.300	0.265	0.798
341	286.352	0.468	0.574	0.758
342	286.852	0.300	0.630	0.781
343	287.184	0.700	0.614	0.759
344	287.920	0.300	0.337	0.754
345	288.252	0.600	0.286	0.778
346	289.020	2.632	0.282	0.797
347	291.684	1.168	0.259	0.784
348	292.884	0.736	0.298	0.760
349	293.652	0.500	0.432	0.748
350	294.184	1.400	0.279	0.793
351	295.620	0.232	0.288	0.830
352	295.916	0.736	0.528	0.777
353	296.952	0.532	0.293	0.823
354	297.516	0.436	0.285	0.802
355	298.016	0.200	0.509	0.735
356	298.384	0.868	0.351	0.815
357	299.284	0.800	0.311	0.826
358	300.116	3.000	0.278	0.795
359	303.184	0.632	0.590	0.725
360	303.984	0.268	0.629	0.787
361	304.284	1.900	0.303	0.775
362	306.216	2.136	0.262	0.780
363	308.552	0.464	0.270	0.799
364	309.052	0.332	0.335	0.750
365	309.416	0.200	0.240	0.750
366	309.784	0.468	0.255	0.775
367	310.284	0.332	0.302	0.749
368	310.652	1.132	0.371	0.745
369	312.084	0.732	0.427	0.773
370	312.852	0.832	0.584	0.735
371	313.884	1.268	0.612	0.737
372	315.316	0.768	0.606	0.736
373	316.116	0.268	0.625	0.769
374	316.552	1.564	0.256	0.784
375	318.284	1.368	0.255	0.790
376	319.984	1.400	0.287	0.782
377	321.416	0.600	0.258	0.763
378	322.084	0.232	0.522	0.722
379	322.352	1.996	0.575	0.725
380	324.384	0.164	0.609	0.734
381	324.584	0.164	0.588	0.786
382	324.784	0.200	0.621	0.771
383	325.016	0.168	0.608	0.789
384	325.248	4.436	0.297	0.750
385	329.716	1.400	0.276	0.780
386	331.148	0.336	0.276	0.792
387	331.516	0.332	0.270	0.784
388	332.384	0.332	0.265	0.785
389	332.748	0.536	0.339	0.766
390	333.316	2.732	0.291	0.803
391	336.084	0.164	0.392	0.779
392	336.284	0.900	0.408	0.780
393	337.316	0.400	0.432	0.782
394	337.748	0.400	0.437	0.766
395	338.184	0.164	0.451	0.773
396	338.384	0.400	0.416	0.772
